Autor,Comentario
@Dominguez1910,"Perdona mi ignorancia en el tema, estoy interesándome en cambiar a lo eléctrico desde que te descubrí pero el término térmico lo usas para referirte a los de combustión?¿"
@joshcala5073,Os la sopla más los de discapacitados y es más importante.
@DJRexOfficial,"Estoy flipando de la cantidad de puntos/puestos de carga que hay, y tantos ocupados por coches que no cargan o directamente no son ni eléctricos (o híbridos). Y después hay otros sitios que solo hay un par de puntos o 3 de carga. En un futuro cuándo todos los vehículos sean eléctricos a ver qué gracia les hará a todos y a esos mismos que les de por aparcar en un puesto de carga cuando les pase lo mismo. (Y los encuentren ocupados y les haga falta cargar). 

A todos esos coches se los tenía que llevar la grúa, sobré todo a los que no son eléctricos o híbridos. 

P.D. Al principio cuándo salieron me gustaban los híbridos, ahora qué se más sobré ellos no me gustan. Es como ponerle una tirita a un corte que necesita puntos."
@Mario-mi1pf,Nunca faltan las lacras sociales. Ellos son los que tienen al mundo fregado.
@multigames195xy8,"Yo ya sabia por donde iban los tiros, antes de abrir el video.
Porque llevo suscrito a este canal Muchos años jajajajaj
Sigue así saul!!!"
@ramonhidalgo9250,"Que lamentable noticia Saul, parece mentira ver a usuarios de coches eléctricos y de combustión, como confunden  lo que realmente es una prioridad, la recarga de la batería, en unos simples estacionamientos. Con ese nivel de conciencia es imposible avanzar."
@UnissysTube,"en México hay una iniciativa para que la gente que pueda probar con vídeo u otras pruebas que alguien esta cometiendo una infracción, puede hacerse acreedor a el 10% de el pago de la multa económica que deba pagar el infractor"
@xavigonz6610,monta una recogida de firmas para que regularicen el estacionamiento en esos lugares. Ahora siendo privado poco se puede hacer.
@borjarj5yt448,Hola yo creo que podrias llamar a la policia y que o se lleven los coches o una multa
@pablogtm3871,"Q los térmicos aparquen tiene delito, pero q propietarios de eléctricos lo hagan es penoso. Si nosotros mismos no damos ejemplo no podemos pedir a los demás q lo hagan. Saludos"
@domingobailon9191,"Buenas Saúl, yo pienso que el propio parking debería amonestar a esos propietarios de esos vehículos cobrándole un extra por aparcar en zona indebida y así se lo pensarán de volver a hacerlo."
@pedrocasals,A lo mejor es en protesta por los precios de recarga de Telpark.... De todas formas no deja de ser una p.t.d. para todo aquél que sí desee cargar.
@nicolarubicondo1469,"Si no sacan una ley que proteja los parking para veiculos  electricos la gente va a seguir haciendo la cagada, MULTAAAA para todo aquel que haga eso, punto y se acabo, en lo que saquen una ley que afecte al bolsillo del infractor no lo dejaran de hacer, formalicen una denuncia por escrito con fotos, testigod etc etc ante las autoridades competentes y listo, claro esperando que las autoridades competetes no hagan caso amiso"
@juliangonzalez7679,"Pues imagínate cuando una persona con discapacidad funcional, también tiene ocupada la plaza o varias plazas a la vez, yo he llegado a ver un vehículo ocupando el centro (4 plazas) y también se la sopla que el discapacitado no pueda usar ninguna de esas plazas"
@frandavidramostorres4694,Cada día lo veo más 🤦‍♂️ y salimos perjudicados todos
@a.s.5707,"Que que pasa??? QUE YA NO EXISTE LA ETICA, EL RESPETO, LA ENSEÑANZA, LOS MODALES QUE TENIAMOS ANTES. CUANDO SE VIVIA MUUUCHO MEJOR"
@diegodig9,Vaya puto asco... Y a medida que se vayan vendiendo mas coches eléctricos se llenará mas de gente ignorante que se piensa que los puntos de carga son aparcamientos privados para ellos 24/7
@martinsoler868,"Esto es lo que me pasa a mi, y a las personas que tenemos una discapacidad y nos encontramos a los retrasados de turno que por no andar unos metros de mas aparcan en los reservados que tenemos y  los que tenemos la movilidad reducida nos tenemos que joder."
@francenteno5286,"Si ya lo dije yo en el Telegram, si nosotros mismos dejamos el coche eléctrico en pdr's sin cargar, ¿Porqué no lo van a hacer los de combustión?. Hay que tener mucha, mucha cara. Ojalá un día esa gente vaya apurada y haya uno de combustión aparcado en el pdr."
@MiguelAngelCC,Falta de educación. Ya aprenderán cuando les toque cargar a ellos. A base de hostias aprende el hombre.
@luismialonsobrazuelo8466,"Este es uno de los motivos más importantes por lo que de los dos coches   que tenemos en casa el que voy a cambiar por un eléctrico es el pequeño, para los kilómetros cerca de casa. Para viajar seguiré con el térmico unos años más"
@l.jimenez1362,La gente aparca donde no debe y sobre todo vota a quién no debe. La degradación social es cada vez más evidente.
@Perturlake,Una buena pinchada de ruedas a cada uno térmico o eléctrico que no cargue el próximo día se lo pensarían antes de aparcar ahí.
@irvin3300,"Yo sacaba a pasear los rotuladores blancos para cristal y dejaba los rotuladores secos. 
Y parecía que el coche que sale como buscando sitio y da la sensación de que iba aparcar en el hueco que quedaba libre mientras estabas grabando ese trozo, al final lo aparcó?"
@sinzone4k,Electricos jajajajaja
@javiergarcial1446,Hay que hacerles un rayón a cada uno para que sepan lo que puede pasarles la proxima vez.
@JAIMEMARTINEZ-zw4sb,a mi me paso que aparcando en Murcia el año pasado y el parking a rebosar el de seguridad me dojo que aparcara ya que normalmente no hay tantos coches a batería . Le dije que si ponía una nota por si algún eléctrico quería aparcar y quitarlo y me dijo que si tenia que mover lo me lo dirían por megafonia .
@oscargonzalezmunoz7344,Un dia en Donosti y le sale el temperamento del norte
@josemanuelblancespinosa8174,La gente va a su p...a bola
@commendatore9001,"Muy indignante eso y quizá haya una solución, me explico: habría que poner multas a eso por la policía local y OJO acorde pues con una legislación estatal que dé cobertura a la local, para que no haya pillos que recurran la multa, una legislación de ello en los nuevos planes de transición energética y movilidad eléctrica. HAZ POR FAVOR SAÚL presión porque nosotros no podemos, ya que estás en tu trabajo con ese lobby en una labor hacia lo eléctrico, pues eso es un auténtico y real lastre de los gordos. Si la Administración está deseando de poner multas hasta por la línea azul para recaudar, pues claro que va a querer por esto y además se posibilita la transición al vehículo eléctrico con los nuevos planes. Resulta muy indignante, haz lobby por favor para que sea efectivo el viaje eléctrico, por ética y por justicia."
@mongolotube5512,Estas cosas son normales en nuestra sociedad... No me sorprende absolutamente nada.
@nombreapellido9523,"Si un día explota la humanidad, no seré yo el q pida explicaciones."
@ENRRRYKE1,"Hala Saul.
Te entiendo a la perfeccion. 
Cuando la gente en general se comporta asi y esto va a mas!!!!, es decir, sin educacion, sin principios, hasta incluso habra alguien que lo hara por joder, cuando la justicia es injusta y los mandatarios unos aprovechados, mentirosos e inutiles, y esto es solo el principio, tan solo hay que esperar a que estalle la olla expres donde todos estamos metidos con las imprevisibles consecuencias y esto solo es cuestion de tiempo, no demasiado"
@andrestorrejonpafila8736,...
@josejgopar,Pues que comiencen a tomarse la justicia por vuestra mano... jamás volvería a pasar.
@anklund,"Igual en La Manga Club, Hotel Principe Felipe el sábado pasado. Lo dije en el hotel que había llamado para avisar que querría cargar y me dijeron que esas plazas eran de Tesla y ella no tenían nada que ver. Cancele la reserva."
@josemanuelibernonvalero9636,No pasa nada. La policia municipal debe de estar para algo. Es como cuando aparcan delante de mí Vado y no puedo salir a trabajar por ejemplo. Llamo a la policia primero que quiten el coche y ya no es asunto mío. Solución: Llamar a la policia.  Lo más didáctico es que te toquen el bolsillo. Un saludo
@diegoantunez1616,Tienes toda la razón...
@comercialmiproveedorcomipr7147,Auuuaaaaauuuuuuuu
@comercialmiproveedorcomipr7147,Ponchales las llantas 🐶🐶🐶🐶
@momas6668,Lo tienen fácil para solucionarlo. Esas plazas que tengan el doble o triple de tarifa si no estás cargando o si finaliza la carga y pasa X tiempo.
@juancarlosrodriguezsanchez2793,"La culpa es del ""pasotismo"" de las autoridades a la hora de denunciar a estos jetas. Lo saben, y por eso actúan así. 200€ cada vez que lo hagan y verás tu cómo no habría tanto problema. Un abrazo crack"
@MrRicobras,"En la calle no pasa tanto, pero, en los parkings, la gente se pasa...Su ombligo es mejor, más grande y más redondo que el de los demás...La educación se ve en esas cosas...Pero, como todos sabéis...El coche se compra, la educación y el respeto por el prójimo se tienen que mamar.. Como echo de menos tiempos pasados, a pesar de lo que digan muchos!!"
@jcmurcia5728,Welcome to Spain
@Sergio-pb2jz,"Yo iria con un electrico, a una gasolinera de cartera aparco frente el surtidor me voy compro lo que me haga falta voy al baño etc y el coche ahi en el surtidor esque es lo mismo"
@davidandres5608,"Oye Pachi, que yo aparco aquí porque mi coche de combustión es mas chulo que el tuyo por mucho que sea electrico!!"
@gaizkitapowers,"Eres un valiente Saúl pero sería más útil poner una queja en el libro de reclamaciones para que el vigilante o la empresa del parking adopte medidas. La primera sería no contabilizar estás plazas cuando el resto están ocupadas porque cuando entras en el parking sólo vas a encontrar éstas libres. Y por ahí seguro que no pasan los dueños del parking, que están para ganar dinero. Y por cierto, te van a crujir como si fuera sotogrande, estás avisado."
@GTpeCesarBabau,"Saul, si vivieras en Perú, todos los Santos días harías este tipos de vídeos. Enserio .... aquí hasta la autoridad se la sopla ... como diríamos aquí,  se la pasa por los ........ saludos Saul."
@jaimeaudehernandez6338,"Es una vergüenza pero la estupidez humana no tiene límites. Las plazas son para coches eléctricos que van a van a cargar. Y deben tener la consideración de tomar el tiempo de recarga, pues si se llena su auto, lo mandatario es retirar el vehículo a otro lugar. Y los térmicos no tienen justificación.  Excelente queja constructiva @Saul Lopez. Saludos desde República Dominicana."
@albertocruz4732,"Quédate cuando no tengas lugar para enchufarlo, los que tienen carros eléctricos son tan tóxicos tanto que en mi ciudad he visto como le pinchan las llantas por aparcar de la misma forma cuando todavía quedan lugares para eléctricos como en este caso"
@JoseFlores-ix4fb,Multa y ya
@luisjo1179,2:28 Okey boomer
@irizar_pablo9246,"Si sigues por aquí pasate por el parking del centro comercial garbera unos minutos, veras que con más de 1000 plazas nuevas recién construidas creo que hay menos de 10 para coches eléctricos y están a unos 100 metros de la entrada. Apostando por el futuro jejeje."
@SoloTrading.101,"A la gente le importa una mierda. Literalmente.
Se rien de tu opinión.

Multas, cuando te tocan el bolsillo, aprendes."
@PabloInds,"Hace unos días fui a un parking de los más céntricos de mi ciudad (Valencia) y habría 8-9 plazas eléctricas en la planta en la que estaba y todos menos uno de los coches aparcados ahí no eran eléctricos. De hecho, era más chistoso el asunto porque uno era un coche de finales de los 80, totalmente surrealista. Y, aparte de la poca educación de la gente, el parking tenía sitios de sobra para los que no tenemos eléctrico, no había ninguna excusa para dejarlo ahí aparcado."
@DJxBarretx,"verguenza es la humanidad no aprendemos nada y nos destruimos, tiempo perdido"
@gandul1234,Llama a la policia.
@frangarcia5311,ES SIMPLE NO HAY EDUCACION.........NI RESPETOOOOOOO.......
